it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm,incomp_error,rho_1,rho_2,rho_3,rho_4,rho_5
49,9.8,31.4159265355297,3.01021233547853e-15,1.38748992991068,156.128573673013,157.516063602924,4.43722107445725,0,10.5211585284852,4.47851390523963,0.777912454323044,0.0049098438008003,0.0408041446242026
50,10,31.4159265356368,3.08437099703682e-15,1.28033186046501,156.247200752223,157.527532612688,4.43722107447061,0,10.0040110341835,5.1583292529669,0.959538377868236,0.00588213493857878,0.0561884899212735
51,10.2,31.4159265355442,3.08834357551237e-15,1.21047650749514,156.33808609577,157.548562603265,4.43722107449974,0,9.60000304388646,5.89768868077871,1.16117749894392,0.0122835105812961,0.0774670957650517
52,10.4,31.4159265358089,2.62645111994831e-15,1.19387604325582,156.383360594497,157.577236637753,4.43722107459783,0,9.39052135757672,6.70161076903068,1.37577044550902,0.0282063313295441,0.106385671237197
53,10.6,31.4159265357973,3.10798282682021e-15,1.24368676241465,156.36892354429,157.612610306705,4.43722107458945,0,9.44220353901687,7.57320512853793,1.59396552032274,0.0585962704095113,0.14476124732493
54,10.8,31.4159265354007,3.37095270951404e-15,1.3724559109431,156.28235322278,157.654809133723,4.43722107454236,0,9.80120898585515,8.50747195865753,1.80386083728113,0.108680464467494,0.194222790066396
55,11,31.4159265357582,1.5003799245751e-15,1.5935589408838,156.110888400016,157.7044473409,4.43722107456991,0,10.4891969160534,9.487312359984,1.99212827684064,0.18298627601733,0.25594581887214
56,11.2,31.4159265352825,1.34640260615343e-15,1.92083085473852,155.840773835874,157.761604690612,4.43722107443206,0,11.5013764852786,10.4835790603226,2.1470560591722,0.284278119693664,0.330564494456529
57,11.4,31.4159265367399,6.59508960428017e-15,2.36607526262751,155.458701751245,157.824777013873,4.43722107462613,0,12.806817893487,11.4596646488397,2.26259638230005,0.413131165120592,0.418404431102799
58,11.6,31.4159265378686,8.45543071931643e-18,2.9350057247071,154.955223465882,157.890229190589,4.4372210749765,0,14.3510119021683,12.3795742857189,2.34138925006173,0.56864804195428,0.519960516454884
59,11.8,31.4159265378798,1.04110234921333e-15,3.62284378006909,154.329190669819,157.952034449888,4.43722107493235,0,16.0604513094407,13.2171892929218,2.39484264940539,0.75002127654176,0.6363718132163
60,12,31.4159265330071,-6.55359080268529e-16,4.41104707889784,153.591807484874,158.002854563772,4.4372210740205,0,17.8488036015521,13.9639259096831,2.43975125281234,0.95796809598777,0.769727559241108
61,12.2,31.4159265325769,2.40174147915853e-15,5.26642699919783,152.768863790658,158.035290789856,4.43722107392392,0,19.6240806169792,14.6324028767106,2.49279250219358,1.19520825227566,0.92323968305832
62,12.4,31.4159265361709,-1.52249643081142e-15,6.14333848768302,151.900138530073,158.043477017756,4.43722107459138,0,21.296120786098,15.254900177905,2.56536881570705,1.46601858455662,1.10133370725931
63,12.6,31.4159265426668,4.05115585431545e-16,6.98885295586548,151.035660774147,158.024513730012,4.43722107595859,0,22.7837001083789,15.8769063483722,2.6609598847143,1.77564515679212,1.30952470994778
64,12.8,31.4159265350813,-2.5933358180384e-15,7.75004204652685,150.229319428833,157.97936147536,4.4372210746932,0,24.0206774342689,16.5474048616188,2.77562605064139,2.13027981203897,1.55384429054647
65,13,31.4159265296734,-1.71237440373883e-15,8.38189228651396,149.531034485262,157.912926771776,4.43722107342963,0,24.9607285333157,17.3083404973051,2.9005300681784,2.53753755486042,1.83972323475666
66,13.2,31.4159265297525,2.0304742269291e-15,8.85411799560412,148.979157008067,157.833275003671,4.43722107326265,0,25.5803944058129,18.1857579571699,3.02436981147021,3.00668672643921,2.17040295671874
67,13.4,31.415926533328,-1.69071359931546e-15,9.15535705521786,148.594793190766,157.750150245984,4.43722107397459,0,25.880321907752,19.1844903872991,3.1339481731558,3.54790253642508,2.54492153883037
