it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
30,15,12.5638628188394,3.19755622736289e-05,3.54489238998321e-07,6.31261086282833,6.31261121731757,3.54792576994811
31,15.5,12.5637897109085,3.35896662796072e-05,4.27476365866673e-05,6.31246570527716,6.31250845291374,3.54790966912464
32,16,12.5637785709262,3.52668165348209e-05,9.34158651299411e-05,6.3125194154218,6.31261283128693,3.54790220566621
33,16.5,12.5638256276141,3.62587046485927e-05,6.46369809851721e-05,6.3127337170672,6.31279835404818,3.54790622275961
34,17,12.5639029465343,3.62642907822087e-05,9.80038799374653e-06,6.31293266162289,6.31294246201089,3.5479189816892
35,17.5,12.5639697443303,3.5406388592914e-05,5.6770168970172e-06,6.31300459578846,6.31301027280536,3.54793300412081
36,18,12.5639975374101,3.42126958826081e-05,3.57948558216754e-05,6.31297429086712,6.31301008572294,3.54794104666736
37,18.5,12.5639809429479,3.32425908245422e-05,4.09701255454702e-05,6.31290323289248,6.31294420301802,3.5479407042418
38,19,12.56393468178,3.29489640780989e-05,1.56715216140592e-05,6.31281493404888,6.31283060557049,3.54793390241822
39,19.5,12.5638859086665,3.32715532617827e-05,3.14705807638278e-08,6.31273013883399,6.31273017030458,3.54792527552617
40,20,12.5638519786431,3.40051800149611e-05,9.55916749314109e-06,6.31268503772717,6.31269459689466,3.54791744106799
41,20.5,12.5638468414871,3.4758423620883e-05,2.03706668794811e-05,6.31271315580369,6.31273352647057,3.54791412899517
42,21,12.5638695147148,3.51996695063515e-05,1.42093501629781e-05,6.31279588003748,6.31281008938764,3.54791628325412
43,21.5,12.5639049146574,3.51826268081374e-05,2.30544833630522e-06,6.31287559904853,6.31287790449686,3.54792195715375
44,22,12.5639336989397,3.48285733317627e-05,1.07913990703945e-06,6.31291046984051,6.31291154898042,3.54792763028453
45,22.5,12.5639487121201,3.43230295579231e-05,7.65214895362495e-06,6.31290496849366,6.31291262064261,3.54793205202435
46,23,12.5639438147684,3.38925782565699e-05,9.37049285491719e-06,6.31287164107321,6.31288101156607,3.54793323679143
47,23.5,12.5639229714471,3.37099199047911e-05,4.07414358244871e-06,6.31282900870496,6.31283308284854,3.54793020024403
48,24,12.5638999145944,3.38464065057999e-05,8.01677196124166e-08,6.31279085770952,6.31279093787724,3.54792602910185
49,24.5,12.5638810707212,3.41257933848087e-05,1.72244523828363e-06,6.31276935724386,6.31277107968909,3.54792134067191
50,25,12.5638766665835,3.44794584968311e-05,4.51940168244616e-06,6.31277839237754,6.31278291177923,3.54791919871267
51,25.5,12.5638855894307,3.46864638070843e-05,3.74297966813041e-06,6.31281079408692,6.31281453706659,3.54791932899364
52,26,12.5639002216347,3.4711442979063e-05,9.36246506676619e-07,6.31284463572065,6.31284557196716,3.54792123543399
53,26.5,12.5639152543453,3.46059788258113e-05,7.05679531517713e-08,6.31286366282493,6.31286373339289,3.5479247546871
54,27,12.5639271928146,3.43819657799911e-05,1.47461085955609e-06,6.31286917129046,6.31287064590132,3.54792855201705
55,27.5,12.5639279467625,3.42101891217718e-05,2.35370429271871e-06,6.31285656886538,6.31285892256968,3.54793022209661
56,28,12.5639195503779,3.40389960834104e-05,1.38583880546752e-06,6.31283778048494,6.31283916632374,3.54792912685246
57,28.5,12.5639072092017,3.40424375189974e-05,1.43622134581756e-07,6.31281933950355,6.31281948312569,3.54792616777347
58,29,12.5638955774301,3.41592042300677e-05,2.26033717188166e-07,6.31280485568759,6.31280508172131,3.54792335508691
59,29.5,12.5638911127389,3.43172057018732e-05,1.05418986650468e-06,6.31280510635437,6.31280616054423,3.54792161141646
60,30,12.5638921646436,3.4496801994788e-05,1.18517564349534e-06,6.31281369356452,6.31281487874016,3.54792081768866
61,30.5,12.5639009614111,3.44763862318229e-05,4.77870832915667e-07,6.31283277041093,6.31283324828176,3.54792223550187
62,31,12.5639113515801,3.4563311887266e-05,2.77148827612274e-09,6.31284460181381,6.31284460458529,3.5479253079686
63,31.5,12.5639189196823,3.42777472456427e-05,2.98461242829029e-07,6.31285325439461,6.31285355285586,3.54792715897975
64,32,12.5639202597618,3.43530561008638e-05,7.32286675192382e-07,6.31285104410471,6.31285177639139,3.54792759313447
65,32.5,12.5639149625007,3.40386023055946e-05,6.10198121730184e-07,6.31284133003875,6.31284194023688,3.54792644258806
