it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm,incomp_error,rho_1,rho_2,rho_3,rho_4,rho_5
161,80.5,24.165163110241,0.0014242371985675,4.08769050679875e-08,12.0849589687069,12.0849590095838,6.81628415109458,0,0.0217540763467851,1.40264409992018e-06,3.584593999076e-08,2.1958255748995e-10,4.70157969868727e-09
162,81,24.1651631191823,0.00142432100569789,4.10737665148924e-08,12.084959107993,12.0849591490668,6.81628415478702,0,0.0220092610143956,1.4344680750968e-06,3.63016479251352e-08,2.17915534297903e-10,4.43375062295367e-09
163,81.5,24.1651631282798,0.0014244040055374,4.11973394519787e-08,12.0849592461007,12.084959287298,6.81628415854546,0,0.0222567720878092,1.43464685052226e-06,3.70108588236839e-08,2.28435762541645e-10,4.16811960754548e-09
164,82,24.1651631375116,0.00142448599593878,4.12760796092161e-08,12.0849593826614,12.0849594239374,6.81628416236045,0,0.0224970106399394,1.40587900135469e-06,3.72404241957345e-08,2.35740101772074e-10,3.83581381776505e-09
165,82.5,24.1651631468948,0.00142456683185489,4.13417838092355e-08,12.0849595173495,12.0849595586912,6.81628416624143,0,0.0227303261215946,1.3788749626027e-06,3.7013015972322e-08,2.35530516480217e-10,3.45171077132681e-09
166,83,24.1651631563815,0.00142464636709485,4.14154350256977e-08,12.084959649919,12.0849596913345,6.81628417016536,0,0.022956851086021,1.38338796894201e-06,3.6907911758585e-08,2.378446100222e-10,3.14999585288868e-09
167,83.5,24.1651631659896,0.00142472459297714,4.14989864689997e-08,12.0849597803145,12.0849598218135,6.81628417414189,0,0.0231764622494127,1.41917386026782e-06,3.69823003343924e-08,2.42003237259273e-10,2.92984321324455e-09
168,84,24.165163175705,0.00142480153571827,4.15786064884695e-08,12.0849599086085,12.0849599501871,6.81628417816449,0,0.0233889083494334,1.46064836769447e-06,3.70011501137071e-08,2.42068195587275e-10,2.83027442790371e-09
169,84.5,24.1651631855498,0.00142487728681233,4.16363189263983e-08,12.0849600349595,12.0849600765958,6.81628418224365,0,0.0235940182980384,1.48627177695386e-06,3.68084539204048e-08,2.42684087998951e-10,2.96860211322176e-09
170,85,24.1651631954846,0.00142495186169382,4.16638721871215e-08,12.0849601594629,12.0849602011268,6.81628418636156,0,0.0237918824472942,1.49784890628446e-06,3.65256426469619e-08,2.45035065359119e-10,3.40890500502879e-09
171,85.5,24.1651632055219,0.00142502528715694,4.1670682928972e-08,12.0849602821399,12.0849603238106,6.81628419052427,0,0.023982902104342,1.51450505742039e-06,3.63775807788967e-08,2.45920485769313e-10,3.96693941712541e-09
172,86,24.1651632156528,0.00142509751477763,4.1681959531787e-08,12.0849604028846,12.0849604445666,6.81628419472919,0,0.0241676830991066,1.5514489505272e-06,3.61724730731143e-08,2.5043691086986e-10,4.77059598337042e-09
173,86.5,24.1651632258632,0.00142516846878752,4.17277996620469e-08,12.0849605215278,12.0849605632556,6.81628419896873,0,0.0243468220624297,1.60418938466082e-06,3.59383130903461e-08,2.57386133990036e-10,5.60781899850406e-09
174,87,24.165163236145,0.00142523808629184,4.18288413393352e-08,12.0849606379171,12.0849606797459,6.8162842032409,0,0.0245206896837814,1.6555937888817e-06,3.55719393327496e-08,2.67333119402945e-10,6.5647161553897e-09
175,87.5,24.1651632465007,0.00142530635289243,4.19860630632558e-08,12.0849607519934,12.0849607939794,6.81628420754664,0,0.0246893214233795,1.69424180256703e-06,3.52438811147379e-08,2.76501682861357e-10,7.5221699813452e-09
176,88,24.1651632569472,0.00142537330344427,4.21799279258929e-08,12.0849608638012,12.0849609059811,6.81628421189555,0,0.0248524678428237,1.72420876303999e-06,3.50067831804036e-08,2.97011639068883e-10,8.54550926673794e-09
177,88.5,24.1651632674419,0.00142543893866185,4.23795917849442e-08,12.084960973411,12.0849610157906,6.81628421626544,0,0.0250097798119994,1.75798058365536e-06,3.49165339140559e-08,3.13641827427818e-10,9.5909308887345e-09
178,89,24.165163278002,0.0014255032897799,4.25571183784814e-08,12.0849610808838,12.0849611234409,6.81628422066635,0,0.0251610284037878,1.80193847301577e-06,3.49023369334245e-08,3.39730744823562e-10,1.06181913792695e-08
179,89.5,24.1651632886152,0.00142556631098429,4.26996706105284e-08,12.0849611861545,12.0849612288542,6.81628422509318,0,0.0253062509126611,1.84992108920985e-06,3.50555304420521e-08,3.664415048451e-10,1.17504160892553e-08
180,90,24.1651632992932,0.00142562791289955,4.28132159306307e-08,12.0849612890279,12.0849613318411,6.81628422955427,0,0.0254457490189506,1.89085179412319e-06,3.52266676297939e-08,4.02707455083549e-10,1.28510721220958e-08
181,90.5,24.1651633099545,0.0014256878801787,4.29160944396311e-08,12.084961389172,12.0849614320881,6.81628423400939,0,0.0255799457981245,1.92043860485626e-06,3.5520882713833e-08,4.42273608942718e-10,1.40789566244241e-08
182,91,24.1651633206151,0.00142574608886009,4.30261880844028e-08,12.0849614862933,12.0849615293195,6.81628423846957,0,0.0257091830068185,1.94365424279772e-06,3.60199701497658e-08,4.75120407860315e-10,1.52536184540693e-08
183,91.5,24.1651633312702,0.00142580244835026,4.31488316294474e-08,12.0849615801916,12.0849616233404,6.81628424293304,0,0.0258335675764358,1.96805039404076e-06,3.66910910088867e-08,5.26921315095788e-10,1.64796519586583e-08
184,92,24.1651633419122,0.0014258569313986,4.32720458364742e-08,12.084961670818,12.08496171409,6.81628424739804,0,0.0259529504019637,1.99486412153368e-06,3.7667547625465e-08,5.62448996641678e-10,1.77622046360863e-08
185,92.5,24.1651633524934,0.00142590954482002,4.33720953840331e-08,12.0849617582529,12.084961801625,6.81628425184113,0,0.0260670537784553,2.01865790596454e-06,3.89593660114934e-08,6.16423820281503e-10,1.89712262980655e-08
186,93,24.1651633630311,0.00142596039277446,4.34263355905024e-08,12.08496184268,12.0849618861063,6.81628425627235,0,0.026175683058702,2.03348307429976e-06,4.04306794446524e-08,6.58283667630995e-10,2.02125983649841e-08
187,93.5,24.1651633735261,0.00142600955754153,4.34263725906841e-08,12.0849619242594,12.0849619676858,6.81628426069232,0,0.0262789103478145,2.03907830339596e-06,4.23240079364876e-08,7.1208405447642e-10,2.1454144092782e-08
188,94,24.1651633839518,0.00142605706065066,4.33845162193805e-08,12.0849620030506,12.0849620464351,6.81628426508965,0,0.0263771382256507,2.03998319852211e-06,4.41753976324531e-08,7.55785991607411e-10,2.26299876048183e-08
189,94.5,24.1651633942886,0.00142610289992215,4.33297170518326e-08,12.0849620790279,12.0849621223576,6.81628426945689,0,0.026471003113758,2.04012586235863e-06,4.66281598083362e-08,8.10231649115899e-10,2.37922667705546e-08
190,95,24.165163404529,0.00142614706883357,4.32955734188531e-08,12.0849621521503,12.0849621954459,6.81628427378859,0,0.0265611741763386,2.03885810428406e-06,4.89518686869568e-08,8.64070608373554e-10,2.49336968842383e-08
191,95.5,24.1651634146653,0.00142618959010314,4.33061177036041e-08,12.0849622224173,12.0849622657235,6.81628427808602,0,0.0266481387508883,2.03230618611119e-06,5.15631821311194e-08,9.02888274849116e-10,2.59108678230214e-08
192,96,24.1651634246788,0.00142623053560594,4.3366868442111e-08,12.0849622899617,12.0849623333285,6.81628428233635,0,0.0267320858648176,2.01848927758925e-06,5.44740750757664e-08,9.58823496802689e-10,2.71382857442106e-08
193,96.5,24.1651634346133,0.00142627007900523,4.34653993711108e-08,12.0849623550519,12.0849623985173,6.81628428656566,0,0.0268129406023524,1.99887156754504e-06,5.7331811390501e-08,9.92657683037242e-10,2.80776896195168e-08
194,97,24.165163444432,0.00142630835483803,4.35807848789323e-08,12.0849624180001,12.0849624615809,6.81628429075019,0,0.0268905272477803,1.97716582044958e-06,6.03518148185806e-08,1.04989337947326e-09,2.91792757574338e-08
195,97.5,24.1651634541419,0.00142634550270004,4.36965044425135e-08,12.0849624790795,12.084962522776,6.81628429489798,0,0.0269647684480789,1.95530280618873e-06,6.3543235367827e-08,1.07243895366887e-09,3.03624362083948e-08
